Program dla naukowców wizytujących: „Tandemy dla doskonałości” – edycja 3
Rozpoczęła się II. edycja programu Stypendia na Start
Marketing Mix Modeling w praktyce – zapisy już od 9 stycznia
W rytmie ekonomii: Polska i świat w epoce AI
Rejestracja na przedmiot „Introduction to Anti Money Laundering” już od 9 stycznia 2024 r.
Wystartowała 3. edycja konkursu Polskich Linii Lotniczych LOT na najlepszą pracę dyplomową!
Dziękujemy za wspólnie spędzony 2023 r. 
Obrona rozprawy doktorskiej mgr. Zbigniewa Bohdanowicza
Dziękujemy za wspólnie spędzony czas podczas świątecznego spotkania
W rytmie ekonomii: Jak konstytucja wpływa na gospodarkę?
